PLAYER,SALARY
'Rajon Rondo',"$6,300,000"
'Lonzo Ball',"$6,286,560"
'Wayne Ellington',"$6,270,000"
'Isaiah Thomas',"$6,261,394"
'Karl-Anthony Towns',"$6,216,840"
'Ben Simmons',"$6,168,840"
'Joel Embiid',"$6,100,266"
'Josh McRoberts',"$6,021,175"
'Alan Williams',"$6,000,000"
'Shelvin Mack',"$6,000,000"
'Milos Teodosic',"$6,000,000"
'Ish Smith',"$6,000,000"
'Brandan Wright',"$5,955,760"
'Boban Marjanovic',"$5,881,260"
'Wesley Johnson',"$5,881,260"
'Tyler Johnson',"$5,821,260"
'Alex Abrines',"$5,725,000"
'Jayson Tatum',"$5,645,400"
b""D'Angelo Russell""","$5,562,360"
'Brandon Ingram',"$5,519,400"
'Josh Smith',"$5,514,806"
'Patrick Beverley',"$5,513,514"
'Aaron Gordon',"$5,504,419"
'Deron Williams',"$5,474,787"
'Arron Afflalo',"$5,328,652"
'Anthony Tolliver',"$5,290,000"
'Thabo Sefolosha',"$5,250,000"
'Jason Smith',"$5,225,000"
'Ben McLemore',"$5,200,000"
'Patrick Patterson',"$5,192,000"
'Nick Young',"$5,192,000"
'Josh Jackson',"$5,090,040"
'Larry Sanders',"$5,000,000"
'Dirk Nowitzki',"$5,000,000"
'Marcus Morris',"$5,000,000"
'Mike Muscala',"$5,000,000"
'Jahlil Okafor',"$4,995,120"
'Dante Exum',"$4,992,385"
'Alexis Ajinca',"$4,961,798"
'Jaylen Brown',"$4,956,480"
'Richard Jefferson',"$4,828,652"
'Sean Kilpatrick',"$4,774,445"
'Kyle Singler',"$4,666,500"
b""De'Aaron Fox""","$4,609,200"
'Marcus Smart',"$4,538,019"
'Kristaps Porzingis',"$4,503,600"
'Justin Holiday',"$4,500,000"
'Dragan Bender',"$4,468,800"
'Devin Harris',"$4,402,546"
'Ron Baker',"$4,328,000"
'Aron Baynes',"$4,300,000"
'Alex Len',"$4,187,599"
'Nerlens Noel',"$4,187,599"
'Jonathan Isaac',"$4,186,320"
'Lance Stephenson',"$4,180,000"
'Julius Randle',"$4,149,242"
b""Kyle O'Quinn""","$4,087,500"
'Mario Hezonja',"$4,078,320"
'Kris Dunn',"$4,046,760"
'Noah Vonleh',"$4,031,018"
'Jonas Jerebko',"$4,000,000"
'Nemanja Bjelica',"$3,950,000"
'J.J. Barea',"$3,903,900"
'Quincy Pondexter',"$3,853,931"
'Lauri Markkanen',"$3,821,640"
'Nik Stauskas',"$3,807,146"
'Willie Cauley-Stein',"$3,704,160"
'Paul Pierce',"$3,679,840"
'Buddy Hield',"$3,675,480"
'Will Barton',"$3,533,333"
'Frank Ntilikina',"$3,501,120"
'Lavoy Allen',"$3,500,000"
'Nen\xc3\xaa',"$3,477,600"
'Zaza Pachulia',"$3,477,600"
'Troy Daniels',"$3,408,520"
'Emmanuel Mudiay',"$3,381,480"
'Jamal Murray',"$3,355,320"
'Elfrid Payton',"$3,332,340"
'Doug McDermott',"$3,294,994"
'Jodie Meeks',"$3,290,000"
'Tyreke Evans',"$3,290,000"
'Tarik Black',"$3,290,000"
'Dennis Smith Jr.',"$3,218,280"
'Zach LaVine',"$3,202,217"
'Ekpe Udoh',"$3,200,000"
'TJ Warren',"$3,152,930"
'Stanley Johnson',"$3,097,800"
'Thon Maker',"$3,086,784"
'Marquese Chriss',"$3,073,800"
'Zach Collins',"$3,057,240"
'Mindaugas Kuzminskas',"$3,028,410"
'James Ennis III',"$3,028,410"
'Seth Curry',"$3,028,410"
'Tomas Satoransky',"$3,000,000"
'Ramon Sessions',"$2,986,463"
'Lucas Nogueira',"$2,947,304"
'Jusuf Nurkic',"$2,947,304"
'Malik Monk',"$2,904,480"
'Frank Kaminsky',"$2,847,600"
'Andrew Nicholson',"$2,844,429"
'Jakob Poeltl',"$2,825,640"
'Luke Kennard',"$2,759,280"
'Justise Winslow',"$2,705,040"
'Michael Carter-Williams',"$2,700,000"
'Cedi Osman',"$2,642,857"
'Donovan Mitchell',"$2,621,280"
'Gary Harris',"$2,550,055"
'Domantas Sabonis',"$2,550,000"
'Derrick Rose',"$2,533,488"
'Manu Ginobili',"$2,500,000"
'Reggie Bullock',"$2,500,000"
'Malcolm Delaney',"$2,500,000"
'Bam Adebayo',"$2,490,360"
'Georgios Papagiannis',"$2,486,757"
'Myles Turner',"$2,483,040"
'Bruno Caboclo',"$2,451,224"
'Ronnie Price',"$2,442,455"
'Trey Lyles',"$2,441,400"
'Dario Saric',"$2,422,560"
'Taurean Prince',"$2,422,560"
'Rodney Hood',"$2,386,864"
'Justin Jackson',"$2,365,560"
'Shabazz Napier',"$2,361,359"
'Rashad Vaughn',"$2,338,653"
'Clint Capela',"$2,334,528"
'Nick Collison',"$2,328,652"
'Raymond Felton',"$2,328,652"
'Jarrett Jack',"$2,328,652"
'Jason Terry',"$2,328,652"
'Udonis Haslem',"$2,328,652"
'David West',"$2,328,652"
'Jose Calderon',"$2,328,652"
'Devin Booker',"$2,319,360"
'Dante Cunningham',"$2,300,000"
'Wade Baldwin',"$2,254,292"
'Justin Patton',"$2,247,480"
'Guerschon Yabusele',"$2,247,480"
'Monta Ellis',"$2,245,400"
'Cameron Payne',"$2,203,440"
'Denzel Valentine',"$2,186,400"
'Kyle Anderson',"$2,151,704"
'DJ Wilson',"$2,135,040"
'Marreese Speights',"$2,116,955"
'Michael Beasley',"$2,116,955"
'Aaron Brooks',"$2,116,955"
'Luc Mbah a Moute',"$2,116,955"
'JaVale McGee',"$2,116,955"
'Jeff Green',"$2,116,955"
'Omri Casspi',"$2,106,470"
'Mario Chalmers',"$2,106,407"
'Darius Miller',"$2,100,000"
'Kelly Oubre Jr.',"$2,093,040"
'Juan Hernangomez',"$2,076,840"
'TJ Leaf',"$2,028,360"
'Spencer Hawes',"$2,007,058"
'Tim Frazier',"$2,000,000"
